language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile,0_percentile
English (American),WS2A,produced,16,CDI_manual_norms,58,58,39,37,29,29,29,28,27,26,23,21,20,18,16,16,14,14,12,9,0
English (American),WS2A,produced,17,CDI_manual_norms,66,66,48,45,36,36,36,34,32,31,28,25,24,22,20,20,17,16,15,11,0
English (American),WS2A,produced,18,CDI_manual_norms,74,74,57,54,43,43,43,40,38,36,33,30,28,26,24,23,20,19,17,13,0
English (American),WS2A,produced,19,CDI_manual_norms,80,80,66,62,51,51,50,46,44,42,39,35,34,31,29,27,24,22,20,15,0
English (American),WS2A,produced,20,CDI_manual_norms,85,85,74,70,59,59,57,52,50,48,45,41,40,37,34,33,28,26,23,17,0
English (American),WS2A,produced,21,CDI_manual_norms,89,89,80,77,66,66,65,59,56,54,51,47,46,43,40,38,33,30,27,20,0
English (American),WS2A,produced,22,CDI_manual_norms,92,92,86,82,73,73,71,65,62,60,57,53,52,49,46,43,38,34,31,23,0
English (American),WS2A,produced,23,CDI_manual_norms,94,94,90,87,79,79,77,70,67,66,63,59,58,55,52,49,44,39,35,27,0
English (American),WS2A,produced,24,CDI_manual_norms,96,96,93,91,84,84,82,75,73,71,68,65,64,61,58,55,49,44,39,30,0
English (American),WS2A,produced,25,CDI_manual_norms,98,98,95,93,88,88,86,80,77,76,73,71,69,67,64,61,55,49,44,34,0
English (American),WS2A,produced,26,CDI_manual_norms,98,98,97,95,91,91,89,84,81,80,78,75,74,73,70,66,61,53,48,38,0
English (American),WS2A,produced,27,CDI_manual_norms,99,99,98,97,93,93,92,87,85,84,82,80,79,77,74,71,66,58,53,42,0
English (American),WS2A,produced,28,CDI_manual_norms,99,100,99,98,95,95,94,90,88,87,85,84,83,82,79,76,71,63,58,47,0
English (American),WS2A,produced,29,CDI_manual_norms,100,100,100,99,97,97,96,92,90,89,88,87,86,85,83,80,75,68,62,51,0
English (American),WS2A,produced,30,CDI_manual_norms,100,100,100,100,98,98,97,94,93,92,91,90,89,88,86,83,79,72,67,56,0
