language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile,0_percentile
English (American),WS2A,produced,16,CDI_manual_norms,61,58,37,33,30,26,24,22,20,17,14,12,11,11,10,10,8,6,6,2,0
English (American),WS2A,produced,17,CDI_manual_norms,69,66,45,39,35,31,29,26,24,20,17,15,14,13,12,11,9,8,7,3,0
English (American),WS2A,produced,18,CDI_manual_norms,77,74,53,46,41,37,34,30,28,24,23,18,17,16,15,14,12,10,9,4,0
English (American),WS2A,produced,19,CDI_manual_norms,83,81,61,52,47,43,39,35,33,29,25,22,20,19,18,17,15,12,11,5,0
English (American),WS2A,produced,20,CDI_manual_norms,87,86,69,59,53,49,45,40,37,33,30,27,25,23,22,20,18,14,13,6,0
English (American),WS2A,produced,21,CDI_manual_norms,91,90,75,65,59,55,50,46,43,39,35,32,30,28,26,24,22,17,16,7,0
English (American),WS2A,produced,22,CDI_manual_norms,94,93,81,71,64,61,56,51,48,44,40,37,35,33,31,29,26,21,19,9,0
English (American),WS2A,produced,23,CDI_manual_norms,96,96,86,77,70,66,62,56,53,50,46,43,41,39,36,34,32,24,22,11,0
English (American),WS2A,produced,24,CDI_manual_norms,97,97,90,81,74,72,67,62,59,55,52,49,47,44,41,40,37,29,26,14,0
English (American),WS2A,produced,25,CDI_manual_norms,98,98,92,85,79,76,72,67,64,61,58,55,53,50,47,45,43,34,31,17,0
English (American),WS2A,produced,26,CDI_manual_norms,99,99,95,88,83,81,76,71,69,66,64,61,59,56,53,51,49,39,36,20,0
English (American),WS2A,produced,27,CDI_manual_norms,100,100,96,91,86,84,80,76,73,71,69,67,65,62,59,57,55,44,41,25,0
English (American),WS2A,produced,28,CDI_manual_norms,100,100,98,93,89,87,84,80,77,76,74,72,70,68,64,63,62,50,47,29,0
English (American),WS2A,produced,29,CDI_manual_norms,100,100,98,95,91,90,87,83,81,80,79,77,75,73,70,68,67,55,52,34,0
English (American),WS2A,produced,30,CDI_manual_norms,100,100,99,96,93,92,89,86,84,83,83,81,79,77,74,73,73,61,58,40,0
