language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile
English (American),WG,produced,8,CDI_manual_norms,16,7,5,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
English (American),WG,produced,9,CDI_manual_norms,26,11,8,6,5,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0
English (American),WG,produced,10,CDI_manual_norms,44,18,12,9,7,6,5,4,3,2,1,1,0,0,0,0,0,0,0,0
English (American),WG,produced,11,CDI_manual_norms,72,28,19,14,11,9,7,6,4,4,2,1,1,0,0,0,0,0,0,0
English (American),WG,produced,12,CDI_manual_norms,111,43,29,21,18,14,11,10,7,6,3,3,1,1,1,0,0,0,0,0
English (American),WG,produced,13,CDI_manual_norms,160,65,44,32,27,21,18,15,12,10,6,5,3,2,2,1,1,1,0,0
English (American),WG,produced,14,CDI_manual_norms,216,96,66,47,40,32,27,23,19,15,11,10,7,5,4,3,2,1,1,0
English (American),WG,produced,15,CDI_manual_norms,268,135,95,70,59,48,41,35,30,24,20,19,14,12,10,7,6,3,2,0
English (American),WG,produced,16,CDI_manual_norms,312,180,132,99,84,71,60,52,47,37,37,35,31,26,20,16,13,8,4,0
English (American),WG,produced,17,CDI_manual_norms,344,227,176,136,117,100,86,75,72,67,64,62,60,54,42,35,30,20,10,1
English (American),WG,produced,18,CDI_manual_norms,365,271,221,179,156,137,120,107,105,96,94,80,71,70,66,59,56,42,18,1
