language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile
English (American),WS,produced,16,CDI_manual_norms,372,253,179,145,124,108,94,83,72,61,52,43,37,32,26,22,19,14,10,7
English (American),WS,produced,17,CDI_manual_norms,436,303,221,182,156,136,119,105,92,78,67,55,48,41,34,29,25,19,13,9
English (American),WS,produced,18,CDI_manual_norms,494,354,268,224,194,170,149,132,116,99,86,72,62,54,44,37,32,24,17,11
English (American),WS,produced,19,CDI_manual_norms,543,404,318,270,236,209,184,164,145,125,109,92,80,69,57,48,41,31,22,14
English (American),WS,produced,20,CDI_manual_norms,581,452,368,319,282,252,224,201,178,156,137,117,102,88,73,62,53,40,29,18
English (American),WS,produced,21,CDI_manual_norms,610,496,418,369,331,299,268,242,217,192,171,147,128,111,92,79,67,51,37,23
English (American),WS,produced,22,CDI_manual_norms,632,533,464,418,380,347,314,287,259,233,209,183,160,139,117,100,84,66,48,29
English (American),WS,produced,23,CDI_manual_norms,647,565,506,464,427,395,362,333,304,277,251,223,198,172,146,126,105,83,61,36
English (American),WS,produced,24,CDI_manual_norms,658,591,542,505,471,441,409,380,351,324,297,268,239,210,180,156,131,104,77,45
English (American),WS,produced,25,CDI_manual_norms,665,612,572,541,510,484,453,426,397,371,344,315,285,252,218,191,161,130,98,56
English (American),WS,produced,26,CDI_manual_norms,670,629,597,571,545,521,493,468,441,418,391,363,332,297,261,231,195,161,122,70
English (American),WS,produced,27,CDI_manual_norms,674,642,616,595,573,553,529,506,482,461,437,411,380,343,306,275,233,195,151,87
English (American),WS,produced,28,CDI_manual_norms,676,651,632,615,597,580,559,540,518,500,478,455,426,390,353,320,275,234,184,107
English (American),WS,produced,29,CDI_manual_norms,678,659,644,631,616,602,585,568,550,535,516,496,469,435,399,367,318,277,222,130
English (American),WS,produced,30,CDI_manual_norms,679,665,653,643,631,620,606,592,576,564,548,532,508,476,443,412,363,321,263,158
